ASISr_X,ASISr_Y,ASISr_Z,ASISl_X,ASISl_Y,ASISl_Z,PSISr_X,PSISr_Y,PSISr_Z,PSISl_X,PSISl_Y,PSISl_Z
705.7230000000001,293.906,182.125,768.422,57.6905,190.033,885.395,269.36,234.579,912.485,162.724,231.6
705.165,293.937,182.09099999999998,768.1510000000001,57.7149,190.17700000000002,884.883,269.88,234.428,912.206,163.284,231.456
704.564,293.942,182.06099999999998,768.183,58.0998,190.394,884.322,270.44599999999997,234.328,911.85,163.889,231.358
703.918,293.925,182.018,767.822,58.107,190.635,883.704,271.028,234.24200000000002,911.435,164.503,231.282
703.209,293.902,181.976,767.732,58.4446,190.878,883.041,271.61,234.13099999999997,910.99,165.114,231.21599999999998
702.447,293.911,181.91099999999997,767.438,58.6492,191.122,882.33,272.192,234.002,910.502,165.72099999999998,231.143
701.625,293.934,181.85,767.062,58.8617,191.364,881.5930000000001,272.768,233.831,909.953,166.33900000000003,231.05
700.788,294.017,181.796,766.659,59.1201,191.58,880.857,273.36,233.638,909.383,166.951,230.935
699.9119999999999,294.145,181.715,766.163,59.423,191.78099999999998,880.084,273.973,233.428,908.7769999999999,167.574,230.78
699.0360000000001,294.349,181.639,765.5930000000001,59.7329,191.986,879.331,274.58,233.178,908.1410000000001,168.204,230.60299999999998
698.172,294.628,181.549,764.932,60.0965,192.201,878.569,275.185,232.928,907.457,168.81400000000002,230.391
697.289,294.987,181.467,764.199,60.5039,192.399,877.815,275.758,232.66400000000002,906.7360000000001,169.423,230.183
696.39,295.39599999999996,181.422,763.3989999999999,60.9355,192.593,877.057,276.305,232.36900000000003,905.99,170.00599999999997,229.97099999999998
695.472,295.856,181.386,762.592,61.4408,192.74,876.28,276.808,232.06400000000002,905.225,170.562,229.768
694.5039999999999,296.36,181.37099999999998,761.737,61.9335,192.852,875.4730000000001,277.28700000000003,231.763,904.453,171.093,229.592
693.523,296.9,181.34599999999998,761.1510000000001,62.8027,192.889,874.65,277.76599999999996,231.477,903.6419999999999,171.601,229.43
692.518,297.41900000000004,181.308,759.997,63.1711,192.952,873.797,278.28,231.21599999999998,902.801,172.13299999999998,229.299
691.502,297.959,181.247,759.051,63.7344,193.013,872.9060000000001,278.824,231.00400000000002,901.947,172.676,229.183
690.539,298.478,181.172,758.065,64.2819,193.08,871.992,279.415,230.877,901.041,173.225,229.084
689.5939999999999,298.965,181.108,757.061,64.7974,193.15099999999998,871.057,280.019,230.8,900.265,173.812,229.065
688.684,299.44599999999997,181.05700000000002,756.198,65.425,193.17700000000002,870.13,280.591,230.74200000000002,899.165,174.27900000000002,228.94799999999998
687.7719999999999,299.92,181.044,754.93,65.6764,193.31900000000002,869.22,281.157,230.69400000000002,898.192,174.77200000000002,228.918
686.863,300.426,181.06599999999997,753.895,66.2028,193.398,868.331,281.691,230.607,897.216,175.24099999999999,228.88099999999997
685.945,300.975,181.097,753.051,67.0251,193.399,867.466,282.188,230.479,896.288,175.68,228.829
